고유번호,호선,역사코드,역사명,주중주말,방향,급행여부,열차코드,열차도착시간,열차출발시간,출발역,도착역
23077,공항철도,,인천공항2터미널,DAY,DOWN,0,A1038,,17:20:00,인천공항2터미널,서울역
23078,공항철도,,인천공항1터미널,DAY,DOWN,0,A1038,,17:28:00,인천공항2터미널,서울역
23079,공항철도,,인천공항2터미널,SAT,DOWN,0,A1038,,17:20:00,인천공항2터미널,서울역
23080,공항철도,,인천공항2터미널,END,DOWN,0,A1038,,17:20:00,인천공항2터미널,서울역
23081,공항철도,,인천공항1터미널,SAT,DOWN,0,A1038,,17:28:00,인천공항2터미널,서울역
23082,공항철도,,인천공항1터미널,END,DOWN,0,A1038,,17:28:00,인천공항2터미널,서울역
23083,공항철도,,서울역,DAY,DOWN,0,A1039,,18:55:00,서울역,인천공항2터미널
23084,공항철도,,인천공항1터미널,DAY,DOWN,0,A1039,,19:40:00,서울역,인천공항2터미널
23085,공항철도,,서울역,SAT,DOWN,0,A1039,,18:55:00,서울역,인천공항2터미널
23086,공항철도,,서울역,END,DOWN,0,A1039,,18:55:00,서울역,인천공항2터미널
23087,공항철도,,인천공항1터미널,SAT,DOWN,0,A1039,,19:40:00,서울역,인천공항2터미널
23088,공항철도,,인천공항1터미널,END,DOWN,0,A1039,,19:40:00,서울역,인천공항2터미널
23089,공항철도,,인천공항2터미널,DAY,DOWN,0,A1040,,18:10:00,인천공항2터미널,서울역
23090,공항철도,,인천공항1터미널,DAY,DOWN,0,A1040,,18:18:00,인천공항2터미널,서울역
23091,공항철도,,인천공항2터미널,SAT,DOWN,0,A1040,,18:10:00,인천공항2터미널,서울역
23092,공항철도,,인천공항2터미널,END,DOWN,0,A1040,,18:10:00,인천공항2터미널,서울역
23093,공항철도,,인천공항1터미널,SAT,DOWN,0,A1040,,18:18:00,인천공항2터미널,서울역
23094,공항철도,,인천공항1터미널,END,DOWN,0,A1040,,18:18:00,인천공항2터미널,서울역
23095,공항철도,,서울역,DAY,DOWN,0,A1041,,19:36:00,서울역,인천공항2터미널
23096,공항철도,,인천공항1터미널,DAY,DOWN,0,A1041,,20:21:00,서울역,인천공항2터미널
23097,공항철도,,서울역,SAT,DOWN,0,A1041,,19:36:00,서울역,인천공항2터미널
23098,공항철도,,서울역,END,DOWN,0,A1041,,19:36:00,서울역,인천공항2터미널
23099,공항철도,,인천공항1터미널,SAT,DOWN,0,A1041,,20:21:00,서울역,인천공항2터미널
23100,공항철도,,인천공항1터미널,END,DOWN,0,A1041,,20:21:00,서울역,인천공항2터미널
23101,공항철도,,인천공항2터미널,DAY,DOWN,0,A1042,,18:35:00,인천공항2터미널,서울역
23102,공항철도,,인천공항1터미널,DAY,DOWN,0,A1042,,18:43:00,인천공항2터미널,서울역
